customer_id,name,email,address,phone_number
1,Tracy Chavez,mharris@example.net,8932 Michael Mills Johnport  PA 61538,266-255-8610x6944
2,Marie Thomas,jhernandez@example.net,452 Daniel Avenue Christopherside  DC 28520,835-922-6123x899
3,Jason Jefferson,richardashley@example.net,PSC 2123  Box 9037 APO AP 76384,(928)353-1084
4,Michael Gibbs,omartinez@example.com,5675 Davis Forges Suite 968 Port Thomaschester  SC 11319,(503)816-3507x2943
5,Alexander York,mclaughlinryan@example.net,4600 Mary Street Suite 277 Port Rebecca  HI 38069,696-806-0403x753
6,Angela Thomas,jacqueline98@example.net,4574 Kathryn Pines North Heather  AS 87964,(222)902-5991
7,Emily Hamilton,williamsjillian@example.net,00206 Sue Knoll Port Paulafurt  AR 71374,282-235-8267x69747
8,Robert Drake,hbarnes@example.net,1031 Tina Burgs Apt. 848 Kathrynshire  MO 62503,(809)971-2402
9,Amy Brady,christopher47@example.org,1323 Fletcher Place West Erinhaven  NC 54532,+1-327-703-6102x9003
10,Jerry Cobb,jesseclark@example.net,18586 Michelle Heights Suite 464 Bradyfurt  PR 88289,573.382.9766x7126
